"","Time","AgeGrp","ASFR","PASFR","Births"
"1",1990,15,23.1145840707965,0.636185840707965,12.6034867256637
"2",1990,16,40.7475752212389,1.1349203539823,22.1493274336283
"3",1990,17,64.6901769911504,1.83251327433628,35.1950796460177
"4",1990,18,93.9267256637168,2.70195575221239,50.9953982300885
"5",1990,19,122.769362831858,3.56975221238938,66.0800088495575
"6",1990,20,148.880761061947,4.3630796460177,79.0096814159292
"7",1990,21,167.242353982301,4.92069911504425,86.8553628318584
"8",1990,22,177.513601769912,5.2312389380531,89.6888053097345
"9",1990,23,182.955389380531,5.39645132743363,89.6958053097345
"10",1990,24,184.562672566372,5.44777876106195,87.6961769911504
"11",1990,25,183.450380530973,5.41988495575221,84.4479115044248
"12",1990,26,180.044654867257,5.325,80.2901150442478
"13",1990,27,175.100884955752,5.185,75.6225840707965
"14",1990,28,168.878362831858,5.00646902654867,70.5889203539823
"15",1990,29,161.749752212389,4.79763716814159,65.3633274336283
"16",1990,30,153.709805309735,4.55736283185841,60.0256017699115
"17",1990,31,144.345566371681,4.2733982300885,54.4661681415929
"18",1990,32,133.819026548673,3.95046017699115,48.7403185840708
"19",1990,33,123.233168141593,3.6215221238938,43.2519911504425
"20",1990,34,112.800991150442,3.2941592920354,38.0676283185841
"21",1990,35,102.283486725664,2.96762831858407,33.1475398230088
"22",1990,36,91.6338230088496,2.64223008849558,28.4825309734513
"23",1990,37,80.9595221238938,2.32150442477876,24.1106460176991
"24",1990,38,70.3777876106195,2.00834513274336,20.0575044247788
"25",1990,39,60.3380442477876,1.71517699115044,16.439592920354
"26",1990,40,50.9458053097345,1.44425663716814,13.2644336283186
"27",1990,41,42.2400707964602,1.19277876106195,10.4679203539823
"28",1990,42,34.4247699115044,0.965884955752212,8.06920353982301
"29",1990,43,28.336796460177,0.787716814159292,6.24169911504425
"30",1990,44,23.9874778761062,0.659053097345133,4.93924778761062
"31",1990,45,20.5444247787611,0.557884955752212,3.95120353982301
"32",1990,46,17.7106902654867,0.476026548672566,3.18814159292035
"33",1990,47,15.0628407079646,0.402008849557522,2.54911504424779
"34",1990,48,12.2892920353982,0.326787610619469,1.96791150442478
"35",1990,49,8.47871681415929,0.225238938053097,1.29005309734513
"36",1991,15,23.1145840707965,0.636185840707965,12.6034867256637
"37",1991,16,40.7475752212389,1.1349203539823,22.1493274336283
"38",1991,17,64.6901769911504,1.83251327433628,35.1950796460177
"39",1991,18,93.9267256637168,2.70195575221239,50.9953982300885
"40",1991,19,122.769362831858,3.56975221238938,66.0800088495575
"41",1991,20,148.880761061947,4.3630796460177,79.0096814159292
"42",1991,21,167.242353982301,4.92069911504425,86.8553628318584
"43",1991,22,177.513601769912,5.2312389380531,89.6888053097345
"44",1991,23,182.955389380531,5.39645132743363,89.6958053097345
"45",1991,24,184.562672566372,5.44777876106195,87.6961769911504
"46",1991,25,183.450380530973,5.41988495575221,84.4479115044248
"47",1991,26,180.044654867257,5.325,80.2901150442478
"48",1991,27,175.100884955752,5.185,75.6225840707965
"49",1991,28,168.878362831858,5.00646902654867,70.5889203539823
"50",1991,29,161.749752212389,4.79763716814159,65.3633274336283
"51",1991,30,153.709805309735,4.55736283185841,60.0256017699115
"52",1991,31,144.345566371681,4.2733982300885,54.4661681415929
"53",1991,32,133.819026548673,3.95046017699115,48.7403185840708
"54",1991,33,123.233168141593,3.6215221238938,43.2519911504425
"55",1991,34,112.800991150442,3.2941592920354,38.0676283185841
"56",1991,35,102.283486725664,2.96762831858407,33.1475398230088
"57",1991,36,91.6338230088496,2.64223008849558,28.4825309734513
"58",1991,37,80.9595221238938,2.32150442477876,24.1106460176991
"59",1991,38,70.3777876106195,2.00834513274336,20.0575044247788
"60",1991,39,60.3380442477876,1.71517699115044,16.439592920354
"61",1991,40,50.9458053097345,1.44425663716814,13.2644336283186
"62",1991,41,42.2400707964602,1.19277876106195,10.4679203539823
"63",1991,42,34.4247699115044,0.965884955752212,8.06920353982301
"64",1991,43,28.336796460177,0.787716814159292,6.24169911504425
"65",1991,44,23.9874778761062,0.659053097345133,4.93924778761062
"66",1991,45,20.5444247787611,0.557884955752212,3.95120353982301
"67",1991,46,17.7106902654867,0.476026548672566,3.18814159292035
"68",1991,47,15.0628407079646,0.402008849557522,2.54911504424779
"69",1991,48,12.2892920353982,0.326787610619469,1.96791150442478
"70",1991,49,8.47871681415929,0.225238938053097,1.29005309734513
"71",1992,15,23.1145840707965,0.636185840707965,12.6034867256637
"72",1992,16,40.7475752212389,1.1349203539823,22.1493274336283
"73",1992,17,64.6901769911504,1.83251327433628,35.1950796460177
"74",1992,18,93.9267256637168,2.70195575221239,50.9953982300885
"75",1992,19,122.769362831858,3.56975221238938,66.0800088495575
"76",1992,20,148.880761061947,4.3630796460177,79.0096814159292
"77",1992,21,167.242353982301,4.92069911504425,86.8553628318584
"78",1992,22,177.513601769912,5.2312389380531,89.6888053097345
"79",1992,23,182.955389380531,5.39645132743363,89.6958053097345
"80",1992,24,184.562672566372,5.44777876106195,87.6961769911504
"81",1992,25,183.450380530973,5.41988495575221,84.4479115044248
"82",1992,26,180.044654867257,5.325,80.2901150442478
"83",1992,27,175.100884955752,5.185,75.6225840707965
"84",1992,28,168.878362831858,5.00646902654867,70.5889203539823
"85",1992,29,161.749752212389,4.79763716814159,65.3633274336283
"86",1992,30,153.709805309735,4.55736283185841,60.0256017699115
"87",1992,31,144.345566371681,4.2733982300885,54.4661681415929
"88",1992,32,133.819026548673,3.95046017699115,48.7403185840708
"89",1992,33,123.233168141593,3.6215221238938,43.2519911504425
