"","age","value"
"1",0,932.013888888889
"2",1,894.028061728395
"3",2,866.335209876543
"4",3,842.892987654321
"5",4,821.953987654321
"6",5,802.538938271605
"7",6,784.07549382716
"8",7,766.262456790123
"9",8,748.985061728395
"10",9,732.288802469136
"11",10,715.724222222222
"12",11,699.298135802469
"13",12,682.915592592593
"14",13,666.397086419753
"15",14,649.663851851852
"16",15,632.931493827161
"17",16,616.172012345679
"18",17,599.15861728395
"19",18,581.843296296296
"20",19,564.313185185185
"21",20,546.476679012346
"22",21,528.399925925926
"23",22,510.321024691358
"24",23,492.487962962963
"25",24,475.113419753086
"26",25,458.189407407407
"27",26,441.711395061728
"28",27,425.631950617284
"29",28,409.854432098765
"30",29,394.458185185185
"31",30,379.575938271605
"32",31,365.166839506173
"33",32,351.122407407407
"34",33,337.535518518518
"35",34,324.318320987654
"36",35,311.44962962963
"37",36,298.959111111111
"38",37,286.748407407407
"39",38,274.761024691358
"40",39,262.986098765432
"41",40,251.411456790123
"42",41,240.046691358025
"43",42,228.943185185185
"44",43,218.112395061728
"45",44,207.645530864197
"46",45,197.570345679012
"47",46,187.859777777778
"48",47,178.554962962963
"49",48,169.577765432099
"50",49,160.938135802469
"51",50,152.683913580247
"52",51,144.765185185185
"53",52,137.184197530864
"54",53,129.927185185185
"55",54,122.974382716049
"56",55,116.32387654321
"57",56,109.953271604938
"58",57,103.840901234568
"59",58,97.9576666666667
"60",59,92.2900987654321
"61",60,86.8680987654321
"62",61,81.6468641975309
"63",62,76.631012345679
"64",63,71.7972345679012
"65",64,67.1416666666667
"66",65,62.6633580246914
"67",66,58.4027037037037
"68",67,54.3566172839506
"69",68,50.5049135802469
"70",69,46.8466419753086
"71",70,43.352975308642
"72",71,40.0167654320988
"73",72,36.8263950617284
"74",73,33.7728148148148
"75",74,30.8714320987654
"76",75,28.1230864197531
"77",76,25.5271851851852
"78",77,23.0905432098765
"79",78,20.7987901234568
"80",79,18.6505185185185
"81",80,16.6403950617284
"82",81,14.6734938271605
"83",82,12.841987654321
"84",83,11.1351604938272
"85",84,9.55735802469136
"86",85,8.11695061728395
"87",86,6.82708641975309
"88",87,5.68437037037037
"89",88,4.68127160493827
"90",89,3.81169135802469
"91",90,3.06625925925926
"92",91,2.43007407407407
"93",92,1.90691358024691
"94",93,1.47738271604938
"95",94,1.13233333333333
"96",95,0.859888888888889
"97",96,0.648283950617284
"98",97,0.489123456790123
"99",98,0.370827160493827
"100",99,0.281666666666667
"101",100,0.671716049382716
