Time,Sex,AgeGrpStart,mx
2030,Female,0,0.02231906
2030,Female,1,0.00240317
2030,Female,5,0.00072452
2030,Female,10,0.00061136
2030,Female,15,0.00110367
2030,Female,20,0.00182284
2030,Female,25,0.00273121
2030,Female,30,0.00378411
2030,Female,35,0.0051662
2030,Female,40,0.00671948
2030,Female,45,0.00880526
2030,Female,50,0.011754
2030,Female,55,0.01568077
2030,Female,60,0.02232183
2030,Female,65,0.03149086
2030,Female,70,0.04276772
2030,Female,75,0.05835847
2030,Female,80,0.08506623
2030,Female,85,0.13393351
2030,Female,90,0.19782913
2030,Female,95,0.28197086
2030,Female,100,0.40985286
